Task,Category
"arrange a coffee break","Urgent but Not Important"  
"send a casual invite","Urgent but Not Important"  
"ask for color prints","Urgent but Not Important"  
"notify late arrivals","Urgent but Not Important"  
"finalize a gift card","Urgent but Not Important"  
"inspect room lighting","Urgent but Not Important"  
"call for dry cleaning","Urgent but Not Important"  
"replace an old keyboard","Urgent but Not Important"  
"fetch lunch leftovers","Urgent but Not Important"  
"switch desk plants","Urgent but Not Important"  
"clean whiteboard for meeting","Urgent but Not Important"  
"pick music for gathering","Urgent but Not Important"  
"make extra photo copies","Urgent but Not Important"  
"arrange office tables","Urgent but Not Important"  
"list suggestions for lunch","Urgent but Not Important"  
"organize meeting handouts","Urgent but Not Important"  
"check pantry stock","Urgent but Not Important"  
"find an HDMI adapter","Urgent but Not Important"  
"clean coffee machine","Urgent but Not Important"  
"share casual updates","Urgent but Not Important"  
"prepare feedback forms","Urgent but Not Important"  
"sort pens by color","Urgent but Not Important"  
"gather recyclable waste","Urgent but Not Important"  
"inspect a sticky door lock","Urgent but Not Important"  
"send funny memes","Urgent but Not Important"  
"book extra chairs","Urgent but Not Important"  
"review old office photos","Urgent but Not Important"  
"choose soft background music","Urgent but Not Important"  
"print out office quotes","Urgent but Not Important"  
"notify team about memo","Urgent but Not Important"  
"organize desktop icons","Urgent but Not Important"  
"sort old files","Urgent but Not Important"  
"wipe desk surface","Urgent but Not Important"  
"request meeting snacks","Urgent but Not Important"  
"adjust desk height","Urgent but Not Important"  
"replace old mousepads","Urgent but Not Important"  
"find a better desk lamp","Urgent but Not Important"  
"organize shared drawers","Urgent but Not Important"  
"schedule yearly checkup","Urgent but Not Important"  
"file warranty receipts","Urgent but Not Important"  
"confirm receipt of package","Urgent but Not Important"  
"change water dispenser bottle","Urgent but Not Important"  
"prepare for casual chat","Urgent but Not Important"  
"arrange monthly bulletin","Urgent but Not Important"  
"recharge portable batteries","Urgent but Not Important"  
"share funny team photos","Urgent but Not Important"  
"reserve team dinner table","Urgent but Not Important"  
"set default meeting time","Urgent but Not Important"  
"turn off unused lights","Urgent but Not Important"  
"find holiday decorations","Urgent but Not Important"  
"look for old sticky notes","Urgent but Not Important"  
"email casual greeting","Urgent but Not Important"  
"save backup photos","Urgent but Not Important"  
"arrange unused folders","Urgent but Not Important"  
"find better chair cushions","Urgent but Not Important"  
"call to check printer ink","Urgent but Not Important"  
"label pantry boxes","Urgent but Not Important"  
"create a fun survey","Urgent but Not Important"  
"fix uneven desk heights","Urgent but Not Important"  
"order tissues for the office","Urgent but Not Important"
"set up lunch order for the team","Urgent but Not Important"
"call tech support for printer issue","Urgent but Not Important"
"send reminder to clear desks","Urgent but Not Important"
"inform about air conditioning maintenance","Urgent but Not Important"
"check meeting room setup","Urgent but Not Important"
"find out shipment arrival time","Urgent but Not Important"
"confirm lunch location and time","Urgent but Not Important"
"contact janitor for coffee spill","Urgent but Not Important"
"reserve meeting room for session","Urgent but Not Important"
"prepare backup documents for presentation","Urgent but Not Important"
"organize shared folders","Urgent but Not Important"
"remind to bring water bottles","Urgent but Not Important"
"check HR about recognition event","Urgent but Not Important"
"replace faulty laptop charger","Urgent but Not Important"
"get extra napkins for coffee break","Urgent but Not Important"
"check Wi-Fi in meeting room","Urgent but Not Important"
"order snacks for meeting","Urgent but Not Important"
"replace worn-out mousepad","Urgent but Not Important"
"notify cleaning team about spill","Urgent but Not Important"
"send meeting schedule update","Urgent but Not Important"
"confirm lunch catering order","Urgent but Not Important"
"check printer ink for presentation","Urgent but Not Important"
"organize spare office supplies","Urgent but Not Important"
"remind to turn off lights and equipment","Urgent but Not Important"
"confirm reservation for lunch","Urgent but Not Important"
"check office event details","Urgent but Not Important"
"send update about room changes","Urgent but Not Important"
"clean whiteboard before presentation","Urgent but Not Important"
"remind to clear personal items from meeting room","Urgent but Not Important"
"check office temperature before meeting","Urgent but Not Important"
"call for door handle repair","Urgent but Not Important"
"arrange software installation for computer","Urgent but Not Important"
"grab cables for projector","Urgent but Not Important"
"check paper stock for printer","Urgent but Not Important"
"order toner for printer","Urgent but Not Important"
"send reminder about employee survey","Urgent but Not Important"
"confirm team’s schedule change","Urgent but Not Important"
"get stationery for brainstorming session","Urgent but Not Important"
"check projector for client meeting","Urgent but Not Important"
"buy extra markers for whiteboard","Urgent but Not Important"
"remind team to return borrowed equipment","Urgent but Not Important"
"confirm lunch orders","Urgent but Not Important"
"ensure snacks are stocked for break","Urgent but Not Important"
"take inventory of cleaning supplies","Urgent but Not Important"
"return borrowed office materials","Urgent but Not Important"
"send updated contact details to team","Urgent but Not Important"
"close and lock office windows","Urgent but Not Important"
"order printer paper","Urgent but Not Important"
"arrange extra seating for seminar","Urgent but Not Important"
"check meeting room availability","Urgent but Not Important"
"get headphones for meeting","Urgent but Not Important"
"report elevator malfunction","Urgent but Not Important"
"get air conditioner fixed","Urgent but Not Important"
"rearrange seating for meeting","Urgent but Not Important"
"arrange visitor parking passes","Urgent but Not Important"
"check meeting room schedule","Urgent but Not Important"
"ensure sanitizing wipes are stocked","Urgent but Not Important"
"send reminder to submit work hours","Urgent but Not Important"
"call for air conditioner repair","Urgent but Not Important"
"check projector screens for presentation","Urgent but Not Important"
"adjust chairs for meeting","Urgent but Not Important"
"order coffee cups for meeting","Urgent but Not Important"
"confirm office supplies delivery","Urgent but Not Important"
"update event calendar","Urgent but Not Important"
"send reminder for mandatory meeting","Urgent but Not Important"
"check kitchen supplies","Urgent but Not Important"
"replace stapler in common area","Urgent but Not Important"
"set out out-of-office replies","Urgent but Not Important"
"arrange recycling pickup","Urgent but Not Important"
"check network for meeting","Urgent but Not Important"
"order printer cartridges","Urgent but Not Important"
"set up whiteboard for meeting","Urgent but Not Important"
"confirm meeting time with team","Urgent but Not Important"
"arrange meeting room coffee","Urgent but Not Important"
"find missing stapler","Urgent but Not Important"
"remind to reset alarms","Urgent but Not Important"
"order taxi for team member","Urgent but Not Important"
"check refreshment delivery time","Urgent but Not Important"
"clear meeting room","Urgent but Not Important"
"find printer paper size","Urgent but Not Important"
"notify cleaning team about kitchen","Urgent but Not Important"
"send team meeting update","Urgent but Not Important"
"update office calendar","Urgent but Not Important"
"remind team to set out-of-office","Urgent but Not Important"
"arrange for office chair delivery","Urgent but Not Important"
"find best meeting time","Urgent but Not Important"
"check air conditioning status","Urgent but Not Important"
"set up meeting reminder","Urgent but Not Important"
"replace burned-out bulb","Urgent but Not Important"
"thank team for event participation","Urgent but Not Important"
"confirm agenda for meeting","Urgent but Not Important"
"order chairs for presentation","Urgent but Not Important"
"check office calendar for updates","Urgent but Not Important"
"order coffee supplies","Urgent but Not Important"
"reconfirm meeting agenda","Urgent but Not Important"
"arrange projector for meeting","Urgent but Not Important"
"set up conference room","Urgent but Not Important"
"buy extra ink for printer","Urgent but Not Important"
"call for office repair","Urgent but Not Important"
"set up internet for meeting","Urgent but Not Important"
"arrange lunch for team","Urgent but Not Important"
"check Wi-Fi for team meeting","Urgent but Not Important"
"send reminder for team survey","Urgent but Not Important"
"check office pantry supplies","Urgent but Not Important"
"arrange last-minute repair","Urgent but Not Important"
"find spare projector screen","Urgent but Not Important"
"remind staff to close windows","Urgent but Not Important"
"get back-up documents ready","Urgent but Not Important"
"prepare the conference room","Urgent but Not Important"
"organize team’s workspace for the meeting","Urgent but Not Important"
"arrange team lunch for tomorrow","Urgent but Not Important"
"remind team about filing expense reports","Urgent but Not Important"
"check availability of conference room for next week","Urgent but Not Important"
"schedule maintenance for office equipment","Urgent but Not Important"
"call vendor to confirm office supply delivery","Urgent but Not Important"
"set up a meeting with HR for staff concerns","Urgent but Not Important"
"arrange catering for upcoming office seminar","Urgent but Not Important"
"check on printer’s paper supply for team","Urgent but Not Important"
"ensure office temperature is set correctly for meeting","Urgent but Not Important"
"submit the final essay before midnight","Urgent but Not Important"
"find the lecture slides for the upcoming class","Urgent but Not Important"
"check class attendance for missing students","Urgent but Not Important"
"register for next semester’s courses before deadline","Urgent but Not Important"
"remind group members about the project deadline tomorrow","Urgent but Not Important"
"send in your assignment before the deadline tonight","Urgent but Not Important"
"check library book availability for the project","Urgent but Not Important"
"buy textbooks for the upcoming semester","Urgent but Not Important"
"check exam schedule for upcoming finals","Urgent but Not Important"
"find out about the campus event happening this week","Urgent but Not Important"
"finish the weekly discussion post for class","Urgent but Not Important"
"make a list of questions for your professor’s office hours","Urgent but Not Important"
"look up study materials for midterm exams","Urgent but Not Important"
"submit lab report by end of the day","Urgent but Not Important"
"prepare a presentation for tomorrow’s class","Urgent but Not Important"
"check class forum for any announcements from professor","Urgent but Not Important"
"review syllabus for any changes to due dates","Urgent but Not Important"
"register for a study group session before exams","Urgent but Not Important"
"buy a new notebook for lecture notes","Urgent but Not Important"
"send email to professor about missing class notes","Urgent but Not Important"
"make sure to return the rented textbook by tomorrow","Urgent but Not Important"
"book the study room in the library","Urgent but Not Important"
"confirm group meeting for project discussion","Urgent but Not Important"
"reorganize study materials before exam week","Urgent but Not Important"
"buy stationery for the upcoming semester","Urgent but Not Important"
"write up the notes from today’s class for the group","Urgent but Not Important"
"complete course registration before deadline","Urgent but Not Important"
"make sure all assignments are submitted by midnight","Urgent but Not Important"
"check university email for important updates","Urgent but Not Important"
"find out about office hours for academic advisors","Urgent but Not Important"
"look for a tutoring session for difficult subject","Urgent but Not Important"
"prepare lab reports for tomorrow’s class","Urgent but Not Important"
"get feedback from professor on your recent project","Urgent but Not Important"
"submit your application for university scholarship","Urgent but Not Important"
"study for upcoming quiz","Urgent but Not Important"
"review and memorize lecture material for the test","Urgent but Not Important"
"print out research paper for class discussion","Urgent but Not Important"
"prepare your notes for upcoming lecture tomorrow","Urgent but Not Important"
"review feedback from your last exam to improve scores","Urgent but Not Important"
"send group assignment to professor for feedback","Urgent but Not Important"
"check for any updates on university’s website for events","Urgent but Not Important"
"submit your essay to the professor via email","Urgent but Not Important"
"join the online class before it starts","Urgent but Not Important"
"read the required chapter for class tomorrow","Urgent but Not Important"
"meet with the student advisor about course schedule","Urgent but Not Important"
"ask for an extension on assignment due tomorrow","Urgent but Not Important"
"check for deadlines on student council elections","Urgent but Not Important"
"read feedback on the latest submitted assignment","Urgent but Not Important"
"finish group project draft for review","Urgent but Not Important"
"check for announcements on campus event schedule","Urgent but Not Important"
"take trash out before it overflows","Urgent but Not Important"
"order groceries before you run out","Urgent but Not Important"
"remind yourself to call the plumber for the leak","Urgent but Not Important"
"clean up the house before guests arrive","Urgent but Not Important"
"buy laundry detergent for the weekend wash","Urgent but Not Important"
"confirm dinner reservation for tonight","Urgent but Not Important"
"water the plants before they wilt","Urgent but Not Important"
"take the dog out for a walk","Urgent but Not Important"
"check if the car has enough gas for the trip","Urgent but Not Important"
"organize grocery list for this week’s shopping","Urgent but Not Important"
"pay the electricity bill before it’s due","Urgent but Not Important"
"book appointment for dental check-up","Urgent but Not Important"
"pick up dry cleaning before the store closes","Urgent but Not Important"
"check fridge for expired items","Urgent but Not Important"
"schedule car service appointment","Urgent but Not Important"
"check email for urgent messages","Urgent but Not Important"
"call tech support about computer issue","Urgent but Not Important"
"check bank account for transaction alerts","Urgent but Not Important"
"review daily news for important updates","Urgent but Not Important"
"take a quick break to stretch","Urgent but Not Important"
"book a last-minute meeting for next week","Urgent but Not Important"
"send out office reminder about document submission","Urgent but Not Important"
"check with IT about office Wi-Fi issue","Urgent but Not Important"
"schedule a quick call with the client to confirm details","Urgent but Not Important"
"remind employees about submitting their timesheets","Urgent but Not Important"
"send an email about upcoming holiday schedule","Urgent but Not Important"
"confirm lunch order for office meeting","Urgent but Not Important"
"send a calendar invite for the conference next month","Urgent but Not Important"
"review office equipment inventory","Urgent but Not Important"
"arrange delivery for office supplies before weekend","Urgent but Not Important"
"look up past exam papers for the upcoming test","Urgent but Not Important"
"remind yourself to submit the online quiz by midnight","Urgent but Not Important"
"find out when the next student council meeting is","Urgent but Not Important"
"sign up for group study session for the semester","Urgent but Not Important"
"check your grade on the recent class project","Urgent but Not Important"
"double-check that all assignments are uploaded on the portal","Urgent but Not Important"
"confirm attendance for the upcoming webinar on research methods","Urgent but Not Important"
"send a quick email to your professor about office hours","Urgent but Not Important"
"schedule a virtual meeting with a classmate to discuss notes","Urgent but Not Important"
"remind yourself to bring materials for the class presentation","Urgent but Not Important"
"recheck the syllabus for upcoming project deadlines","Urgent but Not Important"
"join the online forum discussion for your class","Urgent but Not Important"
"complete a short survey for the university’s student feedback","Urgent but Not Important"
"send a reminder email to the group about the project due date","Urgent but Not Important"
"buy a new calculator for the math exam","Urgent but Not Important"
"sign up for the upcoming workshop on academic writing","Urgent but Not Important"
"arrange the notes for the upcoming lecture review session","Urgent but Not Important"
"remind the professor about the missed class notes","Urgent but Not Important"
"ask about the format for the upcoming final exam","Urgent but Not Important"
"check for changes to the exam schedule posted by the university","Urgent but Not Important"
"find out the office hours for the department advisor","Urgent but Not Important"
"confirm the time for next week’s group study session","Urgent but Not Important"
"sign up for the online tutoring session for chemistry","Urgent but Not Important"
"look up the university’s academic calendar for important dates","Urgent but Not Important"
"double-check the requirements for applying for graduation","Urgent but Not Important"
"check the professor’s feedback on your assignment submission","Urgent but Not Important"
"download the latest lecture slides for review","Urgent but Not Important"
"send the group’s project report to your professor for feedback","Urgent but Not Important"
"review the course materials for the upcoming test","Urgent but Not Important"
"check when the next lab session is scheduled","Urgent but Not Important"
"confirm registration for next semester’s elective courses","Urgent but Not Important"
"check the student portal for any new announcements","Urgent but Not Important"
"buy a ticket for the upcoming career fair","Urgent but Not Important"
"ask the librarian if a reserved book is available for pickup","Urgent but Not Important"
"complete your application for the study abroad program","Urgent but Not Important"
"revisit your notes before next class meeting","Urgent but Not Important"
"ask about the deadline for submitting your thesis proposal","Urgent but Not Important"
"sign up for the next seminar on research ethics","Urgent but Not Important"
"find your course schedule for next semester","Urgent but Not Important"
"review your GPA and academic standing online","Urgent but Not Important"
"look up volunteer opportunities on campus","Urgent but Not Important"
"check your inbox for any important messages from professors","Urgent but Not Important"
"ask your classmates about the homework assignment","Urgent but Not Important"
"check if you’ve completed all course registration requirements","Urgent but Not Important"
"join the university’s student newsletter mailing list","Urgent but Not Important"
"review your personal schedule for class and extracurricular activities","Urgent but Not Important"
"verify assignment submission deadlines with the professor","Urgent but Not Important"
"remind your group about meeting for project work this week","Urgent but Not Important"
"ask about the availability of a study room for the group project","Urgent but Not Important"
"find a study guide for the upcoming exam online","Urgent but Not Important"
"review the course’s online discussion posts for key insights","Urgent but Not Important"
"buy groceries before you run out of essentials","Urgent but Not Important"
"pick up your laundry from the dry cleaner before closing","Urgent but Not Important"
"take your pet to the vet for routine checkup","Urgent but Not Important"
"pay the gas bill online before it’s overdue","Urgent but Not Important"
"check the water filter in the kitchen before using","Urgent but Not Important"
"recharge your phone before it dies","Urgent but Not Important"
"pick up the prescription from the pharmacy","Urgent but Not Important"
"schedule an oil change for your car","Urgent but Not Important"
"book a dentist appointment before next month","Urgent but Not Important"
"confirm dinner plans for tonight","Urgent but Not Important"
"check the fridge for expired food","Urgent but Not Important"
"call the bank to verify the transaction","Urgent but Not Important"
"take the dog for a walk before the sun sets","Urgent but Not Important"
"change the water in the fish tank","Urgent but Not Important"
"set an alarm to wake up early tomorrow","Urgent but Not Important"
"buy a new pair of shoes for the weekend trip","Urgent but Not Important"
"check your credit card statement for any discrepancies","Urgent but Not Important"
"clean out your car’s trunk for better organization","Urgent but Not Important"
"sort through old mail for important documents","Urgent but Not Important"
"schedule an appointment for a car tune-up","Urgent but Not Important"
"check if the power is restored after the outage","Urgent but Not Important"
"search for a recipe for dinner tonight","Urgent but Not Important"
"check for any alerts about road closures in the area","Urgent but Not Important"
"look up the weather forecast for the week","Urgent but Not Important"
"review your subscription services for upcoming renewals","Urgent but Not Important"
"send the presentation slides to the meeting participants","Urgent but Not Important"
"confirm the schedule for next week’s client call","Urgent but Not Important"
"check with HR about updating personal information in the system","Urgent but Not Important"
"review the office catering options for the event","Urgent but Not Important"
"send a reminder to the team about the weekly check-in meeting","Urgent but Not Important"
"forward the meeting minutes to the project team","Urgent but Not Important"
"remind the office staff to submit expense reports","Urgent but Not Important"
"order more printer paper for the office","Urgent but Not Important"
"schedule a quick follow-up call for the marketing campaign","Urgent but Not Important"
"look into updating the office inventory for supplies","Urgent but Not Important"
"remind the team about the report deadline","Urgent but Not Important"
"confirm meeting time with client","Urgent but Not Important"
"review office seating plan","Urgent but Not Important"
"order office supplies","Urgent but Not Important"
"check calendar for team events","Urgent but Not Important"
"send follow-up email about contract","Urgent but Not Important"
"submit invoices for approval","Urgent but Not Important"
"double-check meeting room reservation","Urgent but Not Important"
"send agenda for meeting","Urgent but Not Important"
"verify attendee list for presentation","Urgent but Not Important"
"submit mid-term application form","Urgent but Not Important"
"check scholarship status","Urgent but Not Important"
"double-check exam dates","Urgent but Not Important"
"look for study guide for test","Urgent but Not Important"
"confirm study session time","Urgent but Not Important"
"ask professor about class cancellation","Urgent but Not Important"
"review notes for lecture","Urgent but Not Important"
"confirm assignment deadline","Urgent but Not Important"
"look for project materials","Urgent but Not Important"
"schedule study session for exam","Urgent but Not Important"
"sign up for tutoring session","Urgent but Not Important"
"email advisor for thesis feedback","Urgent but Not Important"
"find resources for final exam","Urgent but Not Important"
"check course registration portal","Urgent but Not Important"
"look up new semester syllabus","Urgent but Not Important"
"verify study group schedule","Urgent but Not Important"
"confirm professor office hours","Urgent but Not Important"
"review essay feedback","Urgent but Not Important"
"check textbooks for next semester","Urgent but Not Important"
"revisit past notes for review","Urgent but Not Important"
"look for internship opportunities","Urgent but Not Important"
"submit research conference application","Urgent but Not Important"
"ask TA about assignment clarification","Urgent but Not Important"
"schedule meeting with project partner","Urgent but Not Important"
"check capstone project requirements","Urgent but Not Important"
"verify details for job fair","Urgent but Not Important"
"check registration for courses","Urgent but Not Important"
"confirm field trip date","Urgent but Not Important"
"schedule resume review session","Urgent but Not Important"
"look for academic advising slot","Urgent but Not Important"
"update LinkedIn profile","Urgent but Not Important"
"search for student research opportunities","Urgent but Not Important"
"check class material updates","Urgent but Not Important"
"find out study room availability","Urgent but Not Important"
"check email for faculty meeting","Urgent but Not Important"
"ask professor about extra credit","Urgent but Not Important"
"confirm group project presentation time","Urgent but Not Important"
"revisit syllabus for course requirements","Urgent but Not Important"
"check course drop date","Urgent but Not Important"
"recheck final project guidelines","Urgent but Not Important"
"look for local networking events","Urgent but Not Important"
"check study abroad application status","Urgent but Not Important"
"schedule research meeting","Urgent but Not Important"
"update student portal","Urgent but Not Important"
"look for new job openings","Urgent but Not Important"
"confirm networking event registration","Urgent but Not Important"
"look up course prerequisites","Urgent but Not Important"
"check GPA on portal","Urgent but Not Important"
"look up academic calendar","Urgent but Not Important"
"search for programming project resources","Urgent but Not Important"
"check thesis submission deadline","Urgent but Not Important"
"ask department about internship credit","Urgent but Not Important"
"check changes to class schedule","Urgent but Not Important"
"check scholarship status","Urgent but Not Important"
"sign up for data analytics course","Urgent but Not Important"
"submit resume to job portal","Urgent but Not Important"
"call bank for transaction update","Urgent but Not Important"
"schedule dentist appointment","Urgent but Not Important"
"check weekend weather forecast","Urgent but Not Important"
"pick up prescription","Urgent but Not Important"
"buy supplies for barbecue","Urgent but Not Important"
"search for transport strike update","Urgent but Not Important"
"find nearest restroom location","Urgent but Not Important"
"check parking spots near concert","Urgent but Not Important"
"look for street festival details","Urgent but Not Important"
"find customer service number","Urgent but Not Important"
"book a conference room","Urgent but Not Important"
"schedule a meeting with HR","Urgent but Not Important"
"send a reminder for client call","Urgent but Not Important"
"confirm meeting location","Urgent but Not Important"
"check meeting agenda","Urgent but Not Important"
"update project status report","Urgent but Not Important"
"ask for team’s availability","Urgent but Not Important"
"prepare meeting notes","Urgent but Not Important"
"follow up on team task","Urgent but Not Important"
"email team about project delay","Urgent but Not Important"
"check exam date on portal","Urgent but Not Important"
"submit attendance form","Urgent but Not Important"
"remind group about project meeting","Urgent but Not Important"
"check for course updates","Urgent but Not Important"
"email professor about office hours","Urgent but Not Important"
"look for study materials","Urgent but Not Important"
"check assignment submission status","Urgent but Not Important"
"confirm lab session timing","Urgent but Not Important"
"send follow-up email to advisor","Urgent but Not Important"
"book study room in library","Urgent but Not Important"
"review notes for upcoming class","Urgent but Not Important"
"find time for group meeting","Urgent but Not Important"
"look for peer review deadlines","Urgent but Not Important"
"update resume for job fair","Urgent but Not Important"
"find a tutor for difficult subject","Urgent but Not Important"
"check grade on class portal","Urgent but Not Important"
"send thank you note after interview","Urgent but Not Important"
"email professor for exam feedback","Urgent but Not Important"
"look for project partner","Urgent but Not Important"
"remind group about assignment submission","Urgent but Not Important"
"check class registration status","Urgent but Not Important"
"ask TA about class material","Urgent but Not Important"
"confirm field trip details","Urgent but Not Important"
"check if final exam schedule changed","Urgent but Not Important"
"check deadlines for scholarship applications","Urgent but Not Important"
"sign up for study session","Urgent but Not Important"
"double-check class schedule for next semester","Urgent but Not Important"
"find course prerequisites for next semester","Urgent but Not Important"
"check grade review request deadline","Urgent but Not Important"
"find details for course credit transfer","Urgent but Not Important"
"ask about final project requirements","Urgent but Not Important"
"check if the course materials are available","Urgent but Not Important"
"look for study guides for upcoming exams","Urgent but Not Important"
"look up extra credit opportunities","Urgent but Not Important"
"review course syllabus for missing info","Urgent but Not Important"
"update LinkedIn profile for job search","Urgent but Not Important"
"send email to confirm study group time","Urgent but Not Important"
"check email for scholarship information","Urgent but Not Important"
"check submission deadline for essay","Urgent but Not Important"
"look for an internship opportunity","Urgent but Not Important"
"verify job application submission","Urgent but Not Important"
"check out job openings on campus","Urgent but Not Important"
"sign up for research seminar","Urgent but Not Important"
"confirm meeting with professor","Urgent but Not Important"
"check tutor availability","Urgent but Not Important"
"ask for job shadowing opportunities","Urgent but Not Important"
"email career counselor for resume review","Urgent but Not Important"
"look for potential summer internships","Urgent but Not Important"
"review application requirements for scholarship","Urgent but Not Important"
"review assignment feedback","Urgent but Not Important"
"check course review deadline","Urgent but Not Important"
"check thesis submission format","Urgent but Not Important"
"sign up for professional development event","Urgent but Not Important"
"confirm presentation schedule","Urgent but Not Important"
"look for networking opportunities on campus","Urgent but Not Important"
"check class material for next lecture","Urgent but Not Important"
"find details about guest lecture event","Urgent but Not Important"
"check student club events for next week","Urgent but Not Important"
"ask advisor about study abroad details","Urgent but Not Important"
"check final project deadline","Urgent but Not Important"
"look up options for class withdrawal","Urgent but Not Important"
"look for free online courses","Urgent but Not Important"
"revisit past exams for practice","Urgent but Not Important"
"check professor’s feedback on project","Urgent but Not Important"
"look up study strategies for exams","Urgent but Not Important"
"verify online class login","Urgent but Not Important"
"send reminder about group project meeting","Urgent but Not Important"
"look for research funding opportunities","Urgent but Not Important"
"review changes to syllabus","Urgent but Not Important"
"check if lab materials are available","Urgent but Not Important"
"update student email preferences","Urgent but Not Important"
"look for online study resources","Urgent but Not Important"
"review class project details","Urgent but Not Important"
"ask about graduation requirements","Urgent but Not Important"
"sign up for research paper writing workshop","Urgent but Not Important"
"search for university event details","Urgent but Not Important"
"check the availability of course seats","Urgent but Not Important"
"call mom to check in","Urgent but Not Important"
"cancel gym membership","Urgent but Not Important"
"pick up groceries","Urgent but Not Important"
"update phone contacts","Urgent but Not Important"
"return library books","Urgent but Not Important"
"check social media for important updates","Urgent but Not Important"
"look up current traffic conditions","Urgent but Not Important"
"find nearest food delivery options","Urgent but Not Important"
"call customer service about billing issue","Urgent but Not Important"
"search for urgent news updates","Urgent but Not Important"
"ask professor about assignment clarification","Urgent but Not Important"
"check course prerequisites for next semester","Urgent but Not Important"
"confirm lab timings for next week","Urgent but Not Important"
"look up details about guest speaker event","Urgent but Not Important"
"find out about student research opportunities","Urgent but Not Important"
"remind group about project submission","Urgent but Not Important"
"check deadline for submitting internship application","Urgent but Not Important"
"look for study groups for upcoming exams","Urgent but Not Important"
"ask TA for clarification on lecture material","Urgent but Not Important"
"check library hours during exam week","Urgent but Not Important"
"find out about career fair dates","Urgent but Not Important"
"update your academic resume for job search","Urgent but Not Important"
"confirm final project submission date","Urgent but Not Important"
"sign up for campus networking event","Urgent but Not Important"
"look up course feedback from past students","Urgent but Not Important"
"schedule time for office hours with professor","Urgent but Not Important"
"double-check registration for next semester's classes","Urgent but Not Important"
"look for available research assistant positions","Urgent but Not Important"
"confirm submission details for thesis","Urgent but Not Important"
"check if a course is open for registration","Urgent but Not Important"
"find out about campus-wide events for students","Urgent but Not Important"
"send reminder to study group for meeting time","Urgent but Not Important"
