Task,Category
learn budgeting skill,not-urgent important
cook healthy meal,not-urgent important
limit screen time,not-urgent important
get enough sleep,not-urgent important
manage stress,not-urgent important
practice mindfulness,not-urgent important
spend time with family and friend,not-urgent important
travel,not-urgent important
learn a new language,not-urgent important
play a musical instrument,not-urgent important
paint or draw,not-urgent important
write poetry or short story,not-urgent important
take dance or yoga class,not-urgent important
join a sport team,not-urgent important
go hiking or camping,not-urgent important
volunteer at a local charity,not-urgent important
donate blood,not-urgent important
mentor a younger student,not-urgent important
participate in community service,not-urgent important
attend religious service,not-urgent important
meditate or pray,not-urgent important
practice gratitude,not-urgent important
set personal goal,not-urgent important
track progress toward goal,not-urgent important
reevaluate goal regularly,not-urgent important
seek feedback from others,not-urgent important
be patient with yourself,not-urgent important
celebrate accomplishment,not-urgent important
learn from mistake,not-urgent important
stay positive,not-urgent important
believe in yourself,not-urgent important
finalize quarterly report,urgent important
schedule team meeting,urgent important
respond to urgent client email,urgent not-important
clean out inbox,not-urgent not-important
learn python programming,not-urgent important
read a book on leadership,not-urgent important
complete math homework,urgent important
write history essay,urgent important
study for chemistry quiz,urgent important
read english literature book,not-urgent important
buy snack,urgent not-important
review class note,not-urgent important
prepare for job interview,urgent important
respond to urgent email,urgent important
prepare project report,urgent important
plan next month's budget,not-urgent important
learn a new software tool,not-urgent important
attend team meeting,urgent important
delegate task to team member,urgent not-important
organize workspace,not-urgent not-important
review company's social medium post,urgent not-important
schedule a doctor's appointment,not-urgent important
browse online shopping,not-urgent not-important
review last week's sale number,not-urgent important
pay utility bill,urgent important
order office supply,urgent important
write monthly progress report,not-urgent important
update linkedin profile,not-urgent important
send feedback to client,urgent important
complete annual review,not-urgent important
set goal for the next quarter,not-urgent important
review department objective,not-urgent important
review email from unknown sender,urgent not-important
draft new marketing plan,not-urgent important
organize office file,not-urgent not-important
respond to customer complaint,urgent important
schedule weekly meeting,not-urgent important
complete monthly expense report,not-urgent important
check company announcement,urgent not-important
participate in industry webinar,not-urgent important
fill out team survey,urgent not-important
update crm with new lead,urgent important
prepare a presentation,urgent important
follow up on pending invoice,urgent important
create a new client proposal,urgent important
renew software subscription,not-urgent important
catch up on industry news,not-urgent important
organize team building activity,not-urgent important
clean email inbox,not-urgent not-important
test new project management tool,not-urgent important
write thank-you note to client,not-urgent important
prepare expense receipt,urgent important
schedule social medium post,urgent not-important
review job application,urgent important
research potential vendor,not-urgent important
send team reminder,urgent not-important
revisit old file,not-urgent not-important
draft response template,not-urgent important
organize file folder,not-urgent not-important
draft a press release,not-urgent important
update website content,not-urgent important
contact technical support,urgent not-important
register for online course,not-urgent important
review product inventory,urgent important
brainstorm product idea,not-urgent important
check voicemail message,urgent not-important
prepare project timeline,not-urgent important
review customer feedback,not-urgent important
read pending work message,urgent not-important
add contact to crm,not-urgent not-important
fill out personal expense form,not-urgent not-important
update software to latest version,not-urgent important
take a break to recharge,not-urgent important
plan team lunch,not-urgent not-important
reorder business card,not-urgent not-important
respond to client inquiry,urgent important
write team appreciation message,not-urgent not-important
review new project proposal,not-urgent important
finalize event detail,urgent important
follow up on job application,urgent not-important
update team calendar,not-urgent important
confirm travel arrangement,urgent important
schedule project milestone,not-urgent important
prepare for upcoming meeting,not-urgent important
take inventory of office supply,not-urgent not-important
write personal goal for the year,not-urgent important
organize personal digital file,not-urgent not-important
update personal budget,not-urgent not-important
check linkedin notification,not-urgent not-important
brainstorm new blog topic,not-urgent important
follow up on mentorship request,not-urgent important
record meeting note,urgent not-important
research professional certification,not-urgent important
set up meeting with a mentor,not-urgent important
refine email template,not-urgent important
contact payroll department,urgent not-important
create a vision board,not-urgent not-important
review training material,not-urgent important
brainstorm team retreat idea,not-urgent important
plan out the week ahead,not-urgent important
write down key learning takeaway,not-urgent not-important
read industry newsletter,not-urgent not-important
create social medium content calendar,not-urgent important
research client success story,not-urgent important
draft email signature for team,not-urgent not-important
update employee handbook,not-urgent important
analyze previous marketing campaign,not-urgent important
send reminder for upcoming meeting,urgent not-important
schedule coffee chat with colleague,not-urgent not-important
confirm client meeting detail,urgent important
run data analysis for report,urgent important
update team on project status,urgent not-important
review note from last lecture,not-urgent important
study for upcoming quiz,urgent important
update semester planner,not-urgent important
research internship opportunity,not-urgent important
schedule time with a tutor,urgent important
organize study note,not-urgent not-important
practice sample test question,not-urgent important
submit class project,urgent important
review class syllabus,not-urgent important
check due date for assignment,urgent important
plan for next week's assignment,not-urgent important
meet with professor during office hour,not-urgent important
write discussion post for online class,urgent important
proofread essay before submission,urgent important
organize study material by subject,not-urgent not-important
prepare flashcard for vocabulary,not-urgent important
complete extra credit assignment,not-urgent not-important
practice public speaking for class,not-urgent important
set reminder for exam date,not-urgent important
read assigned book chapter,not-urgent important
review professor's feedback on paper,not-urgent important
watch supplemental video for class,not-urgent important
create a study playlist,not-urgent not-important
check grade online,urgent important
catch up on missed reading,not-urgent important
organize digital study resource,not-urgent not-important
plan weekend study session,not-urgent important
attend campus club meeting,not-urgent not-important
set up a study group with classmate,not-urgent important
research scholarship option,not-urgent important
schedule academic advisor meeting,not-urgent important
attend professor's office hour,not-urgent important
create a study calendar for final,not-urgent important
practice for upcoming oral exam,urgent important
organize backpack for next day,not-urgent not-important
complete online discussion post,urgent important
update resume for job application,not-urgent important
look into study abroad program,not-urgent important
prepare for group project meeting,urgent important
brainstorm idea for research paper,not-urgent important
practice coding exercise,not-urgent important
submit weekly reflection journal,urgent important
research topic for class presentation,not-urgent important
plan meal for the week,not-urgent not-important
set a timer for study break,not-urgent important
review lecture recording,not-urgent important
apply for on-campus job,not-urgent important
check in on group project progress,urgent important
create a list of study topic,not-urgent important
schedule exam preparation time,not-urgent important
attend library study session,not-urgent not-important
review previous exam question,not-urgent important
write outline for term paper,not-urgent important
attend extra lab practice session,urgent important
write down study goal,not-urgent not-important
organize note by topic,not-urgent not-important
practice language skill with partner,not-urgent important
create an exam study guide,not-urgent important
organize dorm room,not-urgent not-important
set up reminder for homework deadline,not-urgent important
ask professor for study tip,not-urgent important
attend guest lecture on campus,not-urgent not-important
read a relevant research article,not-urgent important
prepare for mock interview,not-urgent important
organize semester study material,not-urgent not-important
check library hour,not-urgent not-important
update list of goal for semester,not-urgent not-important
attend academic success workshop,not-urgent important
brainstorm idea for thesis topic,not-urgent important
create a spreadsheet for tracking grade,not-urgent not-important
look up class study resource,not-urgent not-important
draft lab report,urgent important
check campus event schedule,not-urgent not-important
attend mental health workshop,not-urgent important
research grant and financial aid,not-urgent important
create a study group calendar,not-urgent not-important
practice essay writing skill,not-urgent important
set personal academic goal,not-urgent not-important
apply for student club membership,not-urgent not-important
check deadline for application,not-urgent important
review note with classmate,not-urgent important
plan schedule for final week,not-urgent important
write summary of lecture note,not-urgent important
find a quiet study spot on campus,not-urgent not-important
take a practice quiz,not-urgent important
prepare question for class,not-urgent important
follow up with professor on project feedback,not-urgent important
review lab safety guideline,not-urgent important
attend volunteer information session,not-urgent not-important
participate in class discussion,urgent important
practice presentation for class,urgent important
set reminder for assignment due date,not-urgent important
read course-related news article,not-urgent important
organize study flashcard,not-urgent not-important
write note for research paper,not-urgent important
prepare list of question for exam review,not-urgent important
apply for summer internship,not-urgent important
complete pre-lab question,urgent important
sign up for campus career fair,not-urgent important
review study topic for quiz,not-urgent important
plan research project timeline,not-urgent important
check availability of study room,not-urgent not-important
respond to client email,urgent important
prepare monthly sale report,urgent important
review budget proposal,not-urgent important
attend weekly team meeting,urgent important
organize department file,not-urgent not-important
create quarterly project plan,not-urgent important
follow up on pending payment,urgent important
schedule performance review,not-urgent important
submit travel reimbursement,urgent important
review new software tool,not-urgent important
organize upcoming team event,not-urgent important
delegate task to team,urgent not-important
conduct market research,not-urgent important
prepare for client presentation,urgent important
submit expense report,urgent important
update project documentation,not-urgent important
arrange office supply restock,urgent not-important
schedule a team-building activity,not-urgent important
plan next month's newsletter,not-urgent important
back up important file,not-urgent important
send meeting note to the team,urgent not-important
review quarterly objective,not-urgent important
respond to vendor inquiry,urgent important
prepare annual review document,not-urgent important
set up automated report,not-urgent important
write thank-you email to client,not-urgent important
create a team onboarding checklist,not-urgent important
follow up on project deadline,urgent important
schedule it maintenance,not-urgent important
check software license renewal,not-urgent important
confirm travel arrangement for conference,urgent important
plan next quarter's budget,not-urgent important
organize department lunch,not-urgent not-important
respond to urgent it ticket,urgent important
schedule training session,not-urgent important
submit contract revision,urgent important
update marketing campaign metric,urgent not-important
send project update to stakeholder,urgent important
organize team resource,not-urgent not-important
prepare quarterly performance review,not-urgent important
write project closure report,urgent important
review company guideline,not-urgent not-important
set up monthly one-on-one meeting,not-urgent important
review employee feedback,not-urgent important
conduct client satisfaction survey,not-urgent important
prepare for weekly project update,not-urgent important
send follow-up email,urgent important
research industry trend,not-urgent important
organize team feedback session,not-urgent important
create budget allocation spreadsheet,not-urgent important
draft press release,urgent important
conduct competitor analysis,not-urgent important
update contact list,not-urgent not-important
prepare for board presentation,urgent important
attend professional development workshop,not-urgent important
confirm conference registration,urgent important
arrange client appreciation gift,not-urgent not-important
draft annual financial summary,not-urgent important
schedule project demo,urgent important
organize product sample,not-urgent not-important
respond to email inquiry,urgent important
schedule quarterly review meeting,not-urgent important
develop team training plan,not-urgent important
check in on pending contract,urgent not-important
complete it security training,not-urgent important
review current project status,not-urgent important
prepare team activity report,not-urgent important
arrange lunch with client,urgent not-important
complete hr compliance training,not-urgent important
attend stakeholder presentation,not-urgent important
follow up on action item from meeting,urgent important
organize digital folder,not-urgent not-important
draft quarterly progress update,not-urgent important
meet with new team member,not-urgent important
finalize product release checklist,urgent important
review payroll report,urgent important
update project timeline,not-urgent important
schedule software training session,not-urgent important
back up data on cloud storage,not-urgent important
order new office furniture,not-urgent not-important
brainstorm idea for client outreach,not-urgent important
draft a proposal for new project,urgent important
monitor social medium mention,urgent not-important
create template for recurring report,not-urgent important
prepare feedback for supplier review,not-urgent important
submit project proposal,urgent important
check competitor pricing,not-urgent important
organize brainstorming session,not-urgent important
develop employee onboarding plan,not-urgent important
research new office software solution,not-urgent important
run a quarterly survey,not-urgent important
respond to job application inquiry,urgent not-important
update client portfolio,not-urgent not-important
schedule content for social medium,not-urgent important
prepare holiday schedule,not-urgent important
complete office maintenance request,urgent important
review policy update,not-urgent important
clean out old project file,not-urgent not-important
complete math homework,urgent important
study for upcoming exam,urgent important
prepare group project presentation,urgent important
review last class note,not-urgent important
set up a study schedule,not-urgent important
respond to professor's email,urgent important
organize study material,not-urgent important
plan next semester's course,not-urgent important
attend study group session,urgent important
ask professor for feedback,not-urgent important
submit final paper,urgent important
register for upcoming exam,urgent important
research scholarship opportunity,not-urgent important
update academic resume,not-urgent important
prepare for internship interview,urgent important
schedule a meeting with an academic advisor,not-urgent important
attend career fair,not-urgent important
participate in class discussion board,urgent not-important
practice public speaking,not-urgent important
review course syllabus,not-urgent important
watch recorded lecture,not-urgent important
plan budget for semester,not-urgent important
submit weekly assignment,urgent important
meet with project teammate,urgent important
schedule study session,not-urgent important
complete online course module,urgent important
check library book due date,urgent important
create a study checklist,not-urgent important
review feedback from last exam,not-urgent important
plan weekend study retreat,not-urgent not-important
review past exam paper,not-urgent important
brainstorm research paper topic,not-urgent important
organize class note,not-urgent not-important
prepare for lab assignment,urgent important
schedule time for exercise,not-urgent important
visit professor during office hour,not-urgent important
start term paper research,not-urgent important
update academic planner,not-urgent important
fill out scholarship application,urgent important
review lecture slide,not-urgent important
plan summer internship application,not-urgent important
check study resource,not-urgent not-important
prepare for midterm,urgent important
confirm study group meeting,urgent important
research graduate school option,not-urgent important
brainstorm club activity idea,not-urgent not-important
take a study break,not-urgent important
practice coding problem,not-urgent important
find a quiet study spot,not-urgent not-important
submit lab report,urgent important
attend online tutoring session,urgent important
participate in student club meeting,not-urgent important
organize digital file,not-urgent not-important
read course-related article,not-urgent important
update class project document,urgent important
meet with peer mentor,not-urgent important
create flashcard for studying,not-urgent important
plan a study schedule for final,not-urgent important
review practice question,not-urgent important
research student loan information,not-urgent important
schedule dentist appointment,not-urgent important
set up reminder for due date,not-urgent important
organize exam study resource,not-urgent important
write summary note,not-urgent important
review essay guideline,not-urgent important
print out assignment rubric,urgent not-important
back up computer file,not-urgent important
brainstorm thesis idea,not-urgent important
apply for library study room,urgent important
follow up on internship application,not-urgent important
research essay topic,not-urgent important
complete assigned reading,urgent important
attend extracurricular activity,not-urgent not-important
register for extracurricular workshop,not-urgent important
organize backpack,not-urgent not-important
listen to lecture podcast,not-urgent important
proofread assignment,urgent important
prepare for language exam,urgent important
write study goal for the semester,not-urgent important
plan weekend activity,not-urgent not-important
meet with study buddy,not-urgent important
review last semester's grade,not-urgent not-important
clean dorm room,not-urgent not-important
practice mental health exercise,not-urgent important
attend tutoring for difficult subject,urgent important
research potential career path,not-urgent important
review study flashcard,not-urgent important
take note on textbook chapter,not-urgent important
finish lab prep,urgent important
participate in study forum,urgent not-important
check internship deadline,not-urgent important
research online course for credit,not-urgent important
study past quiz,not-urgent important
prepare resume for career fair,urgent important
organize reference material,not-urgent not-important
catch up on sleep,not-urgent important
plan graduation requirement,not-urgent important
prepare weekly status report,urgent important
send reminder email for upcoming deadline,urgent not-important
schedule team brainstorming session,not-urgent important
organize company-wide webinar,not-urgent important
order coffee and snack for the office,not-urgent not-important
update personal portfolio with latest project,not-urgent not-important
draft response to customer complaint,urgent important
send out holiday card to client,not-urgent not-important
analyze sale performance metric,not-urgent important
plan content for blog post series,not-urgent important
reconcile company credit card transaction,urgent important
create onboarding document for new hire,not-urgent important
review recent team performance data,not-urgent important
attend weekly leadership meeting,urgent important
clean up shared drive file,not-urgent not-important
order new business card,not-urgent not-important
schedule yearly team review session,not-urgent important
review annual financial statement,not-urgent important
check printer and copier supply,urgent not-important
conduct survey on employee satisfaction,not-urgent important
develop social medium posting calendar,not-urgent important
organize monthly company lunch,not-urgent not-important
proofread marketing material,urgent important
prepare agenda for next project meeting,urgent important
send thank-you note to partner,not-urgent not-important
renew professional certification,not-urgent important
schedule daily stand-up meeting,urgent important
organize client appreciation event,not-urgent important
review progress on team goal,not-urgent important
update safety procedure,urgent important
evaluate proposal from new vendor,not-urgent important
create faq for customer support,not-urgent important
respond to low-priority email inquiry,urgent not-important
organize office supply cabinet,not-urgent not-important
complete cybersecurity training,urgent important
check office inventory level,not-urgent not-important
conduct competitor swot analysis,not-urgent important
prepare workshop material,urgent important
send out rsvp reminder for event,urgent not-important
schedule 1:1s with each team member,not-urgent important
prepare for client quarterly review,urgent important
write personal development goal,not-urgent important
organize file by client or project,not-urgent not-important
check office maintenance request,urgent important
write and publish press release,urgent important
review next quarter's strategic plan,not-urgent important
organize old email,not-urgent not-important
prepare next month's client billing,urgent important
set up calendar reminder for deadline,not-urgent important
host monthly feedback session,not-urgent important
archive old project file,not-urgent not-important
collect feedback on product launch,not-urgent important
respond to low-priority comment online,not-urgent not-important
update office emergency contact list,not-urgent important
draft new customer support guideline,not-urgent important
follow up on partnership inquiry,urgent important
update team on project timeline,urgent not-important
schedule office maintenance,not-urgent important
prepare material for vendor meeting,urgent important
organize end-of-year review documentation,not-urgent important
revisit monthly budget forecast,not-urgent important
order flower for upcoming event,not-urgent not-important
write case study for recent project,not-urgent important
research new trend in the industry,not-urgent important
create template for internal report,not-urgent important
monitor google analytics for website,not-urgent important
sort digital invoice,not-urgent not-important
review goal from last quarter,not-urgent important
check update to hr policy,urgent not-important
create email template for client response,not-urgent important
update quarterly financial goal,not-urgent important
draft minute from last team meeting,urgent not-important
set up automated workflow,not-urgent important
review and approve social medium post,urgent important
research potential advertiser,not-urgent important
run monthly report on kpis,not-urgent important
submit monthly subscription payment,urgent important
clean up physical workspace,not-urgent not-important
organize next month's event calendar,not-urgent important
review project risk and contingency,not-urgent important
follow up with unresponsive client,urgent important
plan team retreat itinerary,not-urgent important
assign task for project phase,not-urgent important
write project post-mortem report,not-urgent important
update process documentation,not-urgent important
test workflow automation,not-urgent not-important
send out new hire welcome email,urgent important
review quarterly expense report,not-urgent important
send employee birthday message,not-urgent not-important
prepare a competitive analysis,not-urgent important
check status of customer ticket,urgent important
set reminder for project check-in,not-urgent important
order custom promotional material,not-urgent not-important
send follow-up thank-you email after meeting,not-urgent important
confirm attendance at upcoming conference,urgent important
organize shared workspace for team,not-urgent not-important
complete quarterly financial report,urgent important
respond to client emergency,urgent important
submit tax document,urgent important
fix critical system bug,urgent important
attend emergency team meeting,urgent important
schedule medical appointment,urgent important
pay overdue bill,urgent important
handle customer crisis,urgent important
submit project proposal deadline,urgent important
resolve server downtime,urgent important
prepare for tomorrow's presentation,urgent important
address security breach,urgent important
complete employee evaluation,urgent important
fix broken production line,urgent important
submit grant application,urgent important
strategic planning session,not-urgent important
exercise and fitness,not-urgent important
professional development course,not-urgent important
family time,not-urgent important
preventive maintenance,not-urgent important
network building,not-urgent important
research market trend,not-urgent important
update business plan,not-urgent important
learn new software skill,not-urgent important
personal goal setting,not-urgent important
regular health checkup,not-urgent important
team building activity,not-urgent important
improve documentation,not-urgent important
develop new product idea,not-urgent important
mentor junior staff,not-urgent important
review long-term goal,not-urgent important
create content calendar,not-urgent important
update employee handbook,not-urgent important
plan marketing strategy,not-urgent important
research competitor,not-urgent important
check social medium mention,urgent not-important
reply to routine email,urgent not-important
schedule regular meeting,urgent not-important
fill out paperwork,urgent not-important
return phone call,urgent not-important
order office supply,urgent not-important
update contact list,urgent not-important
format document,urgent not-important
file expense report,urgent not-important
organize digital file,urgent not-important
update software,urgent not-important
clean workspace,urgent not-important
sort through mail,urgent not-important
back up file,urgent not-important
process routine invoice,urgent not-important
schedule appointment,urgent not-important
update calendar,urgent not-important
organize email inbox,urgent not-important
review meeting note,urgent not-important
print document,urgent not-important
browse social medium,not-urgent not-important
watch youtube video,not-urgent not-important
play mobile game,not-urgent not-important
read news article,not-urgent not-important
online shopping,not-urgent not-important
organize desk drawer,not-urgent not-important
rearrange office layout,not-urgent not-important
chat with coworkers,not-urgent not-important
check stock price,not-urgent not-important
scroll through feed,not-urgent not-important
reorganize bookmark,not-urgent not-important
color code file,not-urgent not-important
change desktop wallpaper,not-urgent not-important
sort business card,not-urgent not-important
customize email signature,not-urgent not-important
download new apps,not-urgent not-important
update profile picture,not-urgent not-important
subscribe to newsletter,not-urgent not-important
create email filter,not-urgent not-important
test new productivity apps,not-urgent not-important
review old document,not-urgent not-important
organize phone photo,not-urgent not-important
clean browser history,not-urgent not-important
update password list,not-urgent not-important
arrange desktop icon,not-urgent not-important
sort through old email,not-urgent not-important
review app notification,not-urgent not-important
organize music playlist,not-urgent not-important
customize phone setting,not-urgent not-important
delete unused apps,not-urgent not-important
review saved article,not-urgent not-important
clean download folder,not-urgent not-important
update browser bookmark,not-urgent not-important
sort through screenshots,not-urgent not-important
review podcast subscription,not-urgent not-important
clean recycle bin,not-urgent not-important
update app permission,not-urgent not-important
review browser extension,not-urgent not-important
sort through voice memo,not-urgent not-important
customize notification setting,not-urgent not-important
review cloud storage,not-urgent not-important
update device nickname,not-urgent not-important
sort through archived chat,not-urgent not-important
review app integration,not-urgent not-important
organize digital note,not-urgent not-important
update contact photo,not-urgent not-important
review backup setting,not-urgent not-important
sort through draft folder,not-urgent not-important
complete final exam registration,urgent important
submit thesis draft to advisor,urgent important
pay tuition fee deadline,urgent important
complete lab experiment report,urgent important
submit plagiarism declaration,urgent important
schedule oral defense meeting,urgent important
submit course drop request,urgent important
complete midterm makeup exam,urgent important
submit grade appeal form,urgent important
complete dormitory checkout,urgent important
submit research ethic approval,urgent important
complete academic integrity quiz,urgent important
submit visa extension document,urgent important
complete prerequisite waiver,urgent important
submit degree audit request,urgent important
research thesis topic,not-urgent important
develop research methodology,not-urgent important
read academic journal,not-urgent important
practice statistical analysis,not-urgent important
build academic reference,not-urgent important
learn citation style,not-urgent important
improve academic writing,not-urgent important
study research method,not-urgent important
practice data analysis,not-urgent important
learn reference management,not-urgent important
build laboratory skill,not-urgent important
practice peer review,not-urgent important
learn academic software,not-urgent important
study research ethic,not-urgent important
build academic vocabulary,not-urgent important
practice research design,not-urgent important
learn data visualization,not-urgent important
study experimental design,not-urgent important
practice academic debate,not-urgent important
learn academic publishing,not-urgent important
update class attendance,urgent not-important
submit club reimbursement,urgent not-important
book laboratory time,urgent not-important
schedule peer review,urgent not-important
submit printer credit,urgent not-important
reserve presentation room,urgent not-important
update student portal,urgent not-important
schedule counseling session,urgent not-important
submit locker request,urgent not-important
book equipment rental,urgent not-important
update meal plan,urgent not-important
schedule campus tour,urgent not-important
submit club budget,urgent not-important
book sport facility,urgent not-important
update student insurance,urgent not-important
schedule library workshop,urgent not-important
submit volunteer hour,urgent not-important
book career counseling,urgent not-important
update campus card,urgent not-important
schedule faculty meeting,urgent not-important
organize lecture recording,not-urgent not-important
create study flashcard,not-urgent not-important
update assignment tracker,not-urgent not-important
design revision timetable,not-urgent not-important
organize digital textbook,not-urgent not-important
create subject folder,not-urgent not-important
design note-taking system,not-urgent not-important
organize study guide,not-urgent not-important
create exam schedule,not-urgent not-important
design assignment calendar,not-urgent not-important
organize research paper,not-urgent not-important
create citation library,not-urgent not-important
design project timeline,not-urgent not-important
organize course material,not-urgent not-important
create reading schedule,not-urgent not-important
design study roadmap,not-urgent not-important
organize academic paper,not-urgent not-important
create revision guide,not-urgent not-important
design study planner,not-urgent not-important
organize course note,not-urgent not-important
sort lecture slide,not-urgent not-important
organize practice test,not-urgent not-important
create concept map,not-urgent not-important
design study schedule,not-urgent not-important
organize lab report,not-urgent not-important
create assignment checklist,not-urgent not-important
design research log,not-urgent not-important
organize reference list,not-urgent not-important
create study summary,not-urgent not-important
design revision plan,not-urgent not-important
organize past paper,not-urgent not-important
create topic outline,not-urgent not-important
design study tracker,not-urgent not-important
organize course syllabus,not-urgent not-important
create exam timetable,not-urgent not-important
design study template,not-urgent not-important
organize study material,not-urgent not-important
create revision note,not-urgent not-important
design learning path,not-urgent not-important
organize course reading,not-urgent not-important
create study checklist,not-urgent not-important
design review schedule,not-urgent not-important
organize study resource,not-urgent not-important
respond to data breach incident,urgent important
prepare board meeting presentation,urgent important
complete fda compliance audit,urgent important
handle major customer escalation,urgent important
fix critical production defect,urgent important
submit government tender proposal,urgent important
address workplace safety violation,urgent important
resolve cash flow crisis,urgent important
complete merger documentation,urgent important
execute emergency evacuation drill,urgent important
negotiate vendor contract renewal,urgent important
address employee grievance,urgent important
submit environmental compliance report,urgent important
resolve legal dispute deadline,urgent important
coordinate crisis communication,urgent important
develop 5-year strategic plan,not-urgent important
implement sustainability initiative,not-urgent important
research artificial intelligence adoption,not-urgent important
design employee wellness program,not-urgent important
create succession planning framework,not-urgent important
develop talent pipeline strategy,not-urgent important
plan digital transformation roadmap,not-urgent important
design product innovation framework,not-urgent important
create risk management strategy,not-urgent important
develop customer experience strategy,not-urgent important
plan international expansion,not-urgent important
design corporate university program,not-urgent important
create diversity inclusion framework,not-urgent important
develop data governance policy,not-urgent important
plan infrastructure modernization,not-urgent important
create intellectual property strategy,not-urgent important
design carbon neutrality roadmap,not-urgent important
develop supply chain resilience plan,not-urgent important
create cybersecurity framework,not-urgent important
plan automation strategy,not-urgent important
schedule routine maintenance,urgent not-important
process employee reimbursement,urgent not-important
update department contact list,urgent not-important
respond to medium inquiry,urgent not-important
order office furniture,urgent not-important
coordinate team lunch,urgent not-important
update company directory,urgent not-important
schedule vendor meeting,urgent not-important
process purchase order,urgent not-important
update software license,urgent not-important
arrange business travel,urgent not-important
coordinate office relocation,urgent not-important
update employee badge,urgent not-important
process routine paperwork,urgent not-important
schedule training session,urgent not-important
organize team building event,urgent not-important
update internal wiki page,urgent not-important
coordinate office supply inventory,urgent not-important
process parking permit,urgent not-important
update phone system,urgent not-important
reorganize shared drive folder,not-urgent not-important
design email newsletter template,not-urgent not-important
update company screensavers,not-urgent not-important
customize department letterhead,not-urgent not-important
review social medium analytics,not-urgent not-important
create office playlist,not-urgent not-important
design team mascot,not-urgent not-important
update lobby slideshow,not-urgent not-important
organize digital asset library,not-urgent not-important
create email signature template,not-urgent not-important
design office space theme,not-urgent not-important
update intranet color scheme,not-urgent not-important
create departmental logo,not-urgent not-important
design virtual background,not-urgent not-important
customize chat bot appearance,not-urgent not-important
